label,family,reynolds,nr,nz,integrator,tau,physical_time,steps,accepted_time_step,max_u1,max_omega1,max_speed,distance_to_first_picard,distance_to_second_picard,advection_over_source,viscous_over_source,rhs_change_rate,kinetic_energy,enstrophy,l3_norm,core_l3_fraction,effective_shell_count,radial_scale,axial_scale,shell_flux_upward,outer_band_fraction,relative_divergence,curl_defect,poisson_residual,front_points_radial,front_points_axial
A_Re400_medium,A,400.0,65,129,rk4,1.0,1.3444296853812407,80,0.017479699011347716,0.5799281154086517,2.0230899412117545,0.18413384593328166,0.1677041294888798,0.1575385320520613,0.3283898846705689,0.35858021778849986,0.5008986726643245,0.036887582593115344,0.12294663890843573,0.21090790191668127,0.9954875117195284,1.6761815830147817,0.6183033949916783,0.736370405336657,0.0,1.5160234725802382e-41,0.007901762346985468,0.057821673187438256,1.567634910770721e-13,4.5,19.5
H_Re10_medium,H,10.0,65,129,rk4,0.025,0.23244931367798868,54,0.004351977257747106,0.0806166514793386,0.009797683797469415,0.0198486764129521,0.00018009700712229756,0.00014068790918068843,0.00024233702979198785,0.7813979499992494,0.0,6.104619698235771e-05,7.677614383322205e-07,0.01191565029520889,0.9999999999971119,1.6015911422475029,0.4328502204653918,0.1812324114239334,2.0026074445931212e-14,3.9108545734393185e-55,0.010247657786215742,0.20694267712603132,2.931682674400804e-16,4.5,3.0
H_Re10_medium,H,10.0,65,129,rk4,0.05,0.46489862735597737,108,0.004351977257747106,0.06225928897033619,0.011225915290927656,0.015178413701671986,0.00045036110997197936,0.0003608115913660097,0.0005988197197146367,1.2589443966017637,2.068750216450828,4.056495986315375e-05,9.495291381440308e-07,0.009476793906567934,0.9999999999746986,1.7127123080005042,0.4358698767893553,0.19172610682232058,1.3918884663447788e-13,3.3655912599424654e-43,0.010153707042812854,0.16920273296651406,3.7990444123892075e-16,4.5,6.0
H_Re10_medium,H,10.0,65,129,rk4,0.1,0.9297972547119547,215,0.004351977257747106,0.03977806232985004,0.008533517686490782,0.009568760293407372,0.0008992381102079574,0.0006803915653895426,0.0010643009889052004,1.6684823286737303,1.4361792876664723,2.0609032935277907e-05,6.22242207709171e-07,0.006487507606337318,0.9999999997565351,1.6706315827247717,0.4445896365520261,0.21779722532254533,7.579203430938533e-13,5.281253117048654e-32,0.009753418897945173,0.12042798502857462,2.0209528495129803e-16,5.0,6.0
H_Re10_medium,H,10.0,65,129,rk4,0.2,1.8595945094239095,429,0.004351977257747106,0.02043721957065418,0.0045226435716294935,0.004910576533487855,0.0011641884450035965,0.000857354477711384,0.0012256012175665902,2.008212361966073,1.6295760141749989,7.4337480997600145e-06,2.4874531135798205e-07,0.0036622732203538165,0.9999999972115052,1.6655099696956117,0.4679895687757005,0.2685838061668626,2.7071944445496714e-12,4.0391587444908126e-22,0.008803218582687539,0.05436196319739014,2.2724877535296173e-16,5.0,9.0
H_Re10_medium,H,10.0,65,129,rk4,0.4,3.719189018847819,857,0.004351977257747106,0.0074037394906771555,0.0014914215776362823,0.0018892453344985813,0.0010134446277599947,0.0006617801455137874,0.0012711624576803033,3.640632862208553,3.283146650104032,1.8481528063616844e-06,6.997318857540389e-08,0.0016710213159052479,0.9999998981013347,1.6949946882157503,0.5225352837932798,0.35255416096990677,4.4953815582792656e-12,2.8450407321728114e-14,0.006100786076640936,0.017065449986200472,1.8149544367407344e-16,6.0,12.0
H_Re10_medium,H,10.0,65,129,rk4,0.7,6.508580782983683,1498,0.004351977257747106,0.002521734819211677,0.00044611947254776164,0.0007264961032901491,0.0007612162957863566,0.00044417529057881936,0.0011958238724248053,7.014634149260223,4.073931721079771,4.638953950102421e-07,1.8737596566791494e-08,0.0007634214090799768,0.9999504374855452,1.7278033839462654,0.6037344698826366,0.4514147393060037,8.492103046130692e-13,1.0289395654245444e-09,0.003923600701419815,0.007765181683060708,7.32920668600201e-17,7.5,15.0
H_Re10_medium,H,10.0,65,129,rk4,1.0,9.297972547119548,2139,0.004351977257747106,0.0011309232671413002,0.00018778909762689827,0.00036322528399749263,0.0006196505857314883,0.00034699922786686065,0.001344188529105613,12.134049762051738,2.1913427314361287,1.733834302161802e-07,7.109491782707656e-09,0.00043629281141270744,0.998661321118215,1.7000603031044894,0.6784071293210443,0.5325344985367766,0.0,1.3521811361958057e-07,0.0030976423943535267,0.00512016034171163,5.250249020261055e-17,9.0,18.0
H_Re25_medium,H,25.0,65,129,rk4,0.025,0.23244931367798868,22,0.010879943144367762,0.09561810242819177,0.014502274189839352,0.02370639339474778,0.0002727569410155383,0.00018219751493007188,0.0003427904163420131,0.37455500641624456,0.0,8.076653627475084e-05,1.7250191506394447e-06,0.01393633354103747,0.9999999999972585,1.57862092428794,0.4316477739375483,0.17786753946797046,2.044866848845017e-14,6.938263593297636e-72,0.010264918705740204,0.25599677212221683,4.0592529337857286e-16,4.5,3.0
H_Re25_medium,H,25.0,65,129,rk4,0.05,0.46489862735597737,44,0.010879943144367762,0.08517835853072743,0.022100802519250597,0.021029033118998966,0.0008268719133740286,0.0006173018423980621,0.0010834014879902067,0.6508535093446379,1.033644479966577,6.677327379291135e-05,3.983254507347487e-06,0.012529317138298954,0.9999999999772988,1.5942054049676038,0.4324285383337147,0.17973897436034933,1.617354602620653e-13,3.98506157459369e-59,0.010252245848417517,0.21546203748877993,4.614364446098307e-16,4.5,3.0
H_Re25_medium,H,25.0,65,129,rk4,0.1,0.9297972547119547,87,0.010879943144367762,0.06866707916941044,0.027788527453965442,0.016827194224611996,0.0020685968720084366,0.0017161288496717491,0.00287794555221954,1.1027805987628834,1.8308266201890486,4.742877696955572e-05,5.922114263140669e-06,0.010342925241082693,0.9999999998048761,1.7080369816807528,0.43464207896338025,0.18709203344268335,1.1924372081401577e-12,4.898690149272923e-47,0.010186565578919997,0.1832309254427582,8.4350929019372245e-16,4.5,5.0
H_Re25_medium,H,25.0,65,129,rk4,0.2,1.8595945094239095,173,0.010879943144367762,0.0470304477227431,0.024601876619072836,0.011394826525735084,0.004743785165572212,0.003591969573944936,0.005800690588002012,1.5664253797724272,1.437677141807718,2.6525591927333156e-05,4.7516021832010055e-06,0.007469705037939757,0.999999998191001,1.6600744916448078,0.441009871812216,0.20714031382142117,7.072091445670036e-12,1.455207513937267e-35,0.009917956144701706,0.1367675730701631,5.238864897449957e-16,4.5,7.0
H_Re25_medium,H,25.0,65,129,rk4,0.4,3.719189018847819,344,0.010879943144367762,0.02612540984292781,0.014806406559311244,0.006284247525602108,0.00699168707506756,0.005133480546104405,0.007684737987787789,1.7816453513144705,1.265017158974563,1.0744934667723837e-05,2.1637680691250725e-06,0.004501176246180029,0.9999999806582491,1.7226687514502441,0.4583928513043339,0.24907047097782328,2.922226557379317e-11,3.5201988306075295e-25,0.009245832215267421,0.07290812075481301,5.451368523257116e-16,5.0,9.0
H_Re25_medium,H,25.0,65,129,rk4,0.7,6.508580782983683,601,0.010879943144367762,0.01298644012386828,0.007033697357901956,0.003182174186103203,0.0069833225257009655,0.004886427660502839,0.008063577461020741,2.5578941056940625,1.7840979293575536,3.966474478805058e-06,8.771385017150187e-07,0.0025689991805333567,0.9999998429873418,1.7010396166439126,0.48966885367968266,0.30476490860756167,6.495858585925005e-11,4.3956876209051345e-18,0.007712699760125488,0.029599198956345985,6.92154666914746e-16,5.5,8.0
H_Re25_medium,H,25.0,65,129,rk4,1.0,9.297972547119548,858,0.010879943144367762,0.007369186598574624,0.003712734697474814,0.0018868296093130072,0.0063344675765674135,0.004134563594451689,0.007952751076842903,3.657867291629217,1.3658241457374687,1.8524238951477679e-06,4.359071093488825e-07,0.0016708702624357494,0.999999241327311,1.696058324074213,0.5227661426973104,0.3527308283989717,6.902629910575558e-11,2.4276510741242082e-14,0.006077715174854152,0.017072816447884397,2.7863995832877464e-16,6.0,12.0
H_Re50_medium,H,50.0,65,129,rk4,0.025,0.23244931367798868,11,0.021759886288735524,0.10140858391528071,0.01727868522799222,0.025203442833289826,0.0003071501865298001,0.000193497428457286,0.00038749963906724863,0.2010337185231389,0.0,8.9444379108984e-05,2.3066191101329674e-06,0.01475030348610841,0.9999999999973043,1.570127216328587,0.43136458932119137,0.17770936247092797,2.0139771126067132e-14,1.2779464623497183e-88,0.010264008301693854,0.2718808151478944,3.0097452308197603e-16,4.0,3.0
H_Re50_medium,H,50.0,65,129,rk4,0.05,0.46489862735597737,22,0.021759886288735524,0.09555403097774717,0.029003220220602303,0.023704216676631706,0.0010907527355060213,0.0007285037696813292,0.001370856443735983,0.3750322610735862,0.4498521758756683,8.076408965561793e-05,6.898390802110381e-06,0.01393561691284656,0.9999999999780683,1.5785039692243703,0.4316890308155228,0.17786579361289287,1.6359228680945193e-13,6.544888421055539e-72,0.010259725188554308,0.2560375298866785,3.863300331767919e-16,4.5,3.0
H_Re50_medium,H,50.0,65,129,rk4,0.1,0.9297972547119547,44,0.021759886288735524,0.08499084404826891,0.04409209621240684,0.021022456389121445,0.0033125640784556166,0.0024716435330697597,0.0043375763416473815,0.6534553219395262,1.0440865723898556,6.676537054218462e-05,1.5918886072300225e-05,0.01252705911717475,0.9999999998183832,1.5938392825798702,0.4325670090419746,0.1797352737268399,1.2906733874870548e-12,3.473089450137514e-59,0.010234706766536183,0.21580775661665816,9.08995101411847e-16,4.5,3.0
H_Re50_medium,H,50.0,65,129,rk4,0.2,1.8595945094239095,87,0.021759886288735524,0.06825083128564545,0.055250897064598785,0.016811453910771303,0.008281148699167755,0.006873680187863893,0.011548082867249697,1.11302453861694,1.8802522509766588,4.740999493455914e-05,2.361967850697452e-05,0.010337123524924746,0.9999999984390193,1.706462365898209,0.4350428053283431,0.18709282425654997,9.51803009177441e-12,4.0795004320374e-47,0.010137310424947522,0.18358453242450973,1.7069679003611782e-15,4.5,5.0
H_Re50_medium,H,50.0,65,129,rk4,0.4,3.719189018847819,173,0.021759886288735524,0.04644065485534747,0.04873977028103499,0.011368610310761688,0.01898941011196047,0.014340839285653753,0.023390244280805137,1.5866308938491556,1.4024713696888793,2.6503399620449308e-05,1.8861696989110407e-05,0.0074594138792080265,0.9999999855357264,1.6573438823729545,0.4419151809603266,0.20718833758520572,5.6255387242339344e-11,1.1842872532767055e-35,0.009822325197294092,0.13686248088944836,1.970645868709653e-15,4.5,7.0
H_Re50_medium,H,50.0,65,129,rk4,0.7,6.508580782983683,302,0.021759886288735524,0.02919367232998355,0.033059477862609675,0.007127637811176076,0.0270260283734398,0.02039802168324247,0.03051912673348726,1.7836067505742548,0.9425194542354187,1.3143081991919198e-05,1.0277163639878722e-05,0.005030761320235,0.9999999037111301,1.6921389665374615,0.45497750767790973,0.2390449997778878,1.812162110006771e-10,3.748046959659497e-27,0.009144609379248839,0.085777467292244,1.2559397966072083e-15,5.0,7.0
H_Re50_medium,H,50.0,65,129,rk4,1.0,9.297972547119548,431,0.021759886288735524,0.019919226605539724,0.022212995106797025,0.00487630253087604,0.029017569351660694,0.02141048184405464,0.03121479358443696,2.039522904829248,0.7891672498829683,7.442984352611764e-06,6.116226791723322e-06,0.0036522644744542217,0.9999996542251198,1.643291798893062,0.46981117863499827,0.26895677444764593,3.212420400102509e-10,2.825443474493421e-22,0.008616317711144772,0.05412867642086726,1.6896206656014101e-15,5.0,9.0
