axial_case,points_per_unit_radius,wall_radius,kr,nr,response_max_abs,response_relative_to_reference_core_max,argmax_r,argmax_z,response_spread_over_abs_mean,oracle_amplitude,oracle_predicted_response,floor_margin,oracle_comparable
Lz16_m1,128,1.5,0.5890486225480862,193,0.0007709117294762162,0.0313053451111245,0.8984375,0.0,0.015559446461191668,4.336505742853686,0.0007709048795911223,8811592990551.44,True
Lz16_m1,128,2.0,0.7853981633974483,257,0.00037043669147535313,0.015042770819349498,0.8984375,0.0,0.01555944646118242,2.0837607467982657,0.000370432191921906,4234112135267.4624,True
Lz16_m1,128,3.0,1.1780972450961724,385,0.00011333291495799289,0.004602246767759356,0.8984375,0.0,0.015559446461063452,0.6375126417705453,0.00011333124766451451,1295398244282.4136,True
Lz16_m1,128,4.0,1.5707963267948966,513,4.095669924894605e-05,0.0016631782285527494,0.8984375,0.0,0.01555944646083354,0.2303865986009921,4.095605161980722e-05,468135650620.30286,True
Lz16_m1,256,1.0,0.39269908169872414,257,0.001981881349559882,0.08049752345253075,0.8984375,0.0,0.015559632916358137,11.149770078558422,0.001981881349559882,22658038539066.58,True
Lz16_m1,256,1.5,0.5890486225480862,385,0.0007708193877985318,0.031308156646590875,0.8984375,0.0,0.015559632916400104,4.336505742853686,0.0007708176754737381,8812443086644.004,True
Lz16_m1,256,2.0,0.7853981633974483,513,0.00037039141372666347,0.015044085015331159,0.8984375,0.0,0.015559632916374341,2.0837607467982657,0.0003703902889411331,4234520620110.7285,True
Lz16_m1,256,3.0,1.1780972450961724,769,0.00011331884451136042,0.004602639984322284,0.8984375,0.0,0.015559632916569657,0.6375126417705453,0.00011331842772824704,1295523217483.8496,True
Lz16_m1,256,4.0,1.5707963267948966,1025,4.095158059658037e-05,0.0016633189571229822,0.8984375,0.0,0.015559632916022338,0.2303865986009921,4.09514187053873e-05,468180813882.815,True
Lz32_m1,64,1.0,0.19634954084936207,65,0.002154476030999078,0.08637065649907781,0.890625,0.0,0.0038225594100944112,49.14191335168896,0.002154476030999078,24311178526561.996,True
Lz32_m1,64,1.5,0.2945243112740431,97,0.0009085954875645218,0.03642462836620948,0.890625,0.0,0.0038225594100859102,20.723641447871454,0.0009085643136221832,10252269653280.543,True
Lz32_m1,64,2.0,0.39269908169872414,129,0.00047874901785487436,0.019192539798755327,0.890625,0.0,0.003822559410093459,10.91938347995743,0.00047872678079285725,5401968769132.453,True
Lz32_m1,64,3.0,0.5890486225480862,193,0.00018003011525874425,0.007217216168003421,0.890625,0.0,0.003822559410000352,4.106119144252694,0.0001800201635090553,2031353456933.1199,True
Lz32_m1,64,4.0,0.7853981633974483,257,8.126024004177649e-05,0.0032576367426219413,0.890625,0.0,0.0038225594099561833,1.8533741481972734,8.125548857220313e-05,916889610522.0553,True
Lz32_m1,128,1.0,0.19634954084936207,129,0.002153633739229155,0.0864089967001138,0.8984375,0.0,0.0038899401090057954,49.14191335168896,0.002153633739229155,24321970333755.684,True
Lz32_m1,128,1.5,0.2945243112740431,193,0.000908216901970916,0.03643985969196505,0.8984375,0.0,0.0038899401089813584,20.723641447871454,0.0009082091106713037,10256820667427.182,True
Lz32_m1,128,2.0,0.39269908169872414,257,0.00047854518028784794,0.019200390554407146,0.8984375,0.0,0.00388994010897158,10.91938347995743,0.0004785396226988697,5404366719744.312,True
Lz32_m1,128,3.0,0.5890486225480862,385,0.00017995227182810965,0.007220120570798032,0.8984375,0.0,0.003889940108925929,4.106119144252694,0.00017994978467913926,2032255181003.2014,True
Lz32_m1,128,4.0,0.7853981633974483,513,8.122490924719877e-05,0.003258939896447006,0.8984375,0.0,0.003889940108761549,1.8533741481972734,8.12237217628719e-05,917296620650.4963,True
Lz32_m1,256,1.0,0.19634954084936207,257,0.0021533869341749537,0.08641717690402591,0.8984375,0.0,0.0038899517287464256,49.14191335168896,0.0021533869341749537,24324272856461.332,True
Lz32_m1,256,1.5,0.2945243112740431,385,0.0009081069781409141,0.03644307492180962,0.8984375,0.0,0.0038899517287529946,20.723641447871454,0.0009081050304859396,10257791664519.541,True
Lz32_m1,256,2.0,0.39269908169872414,513,0.0004784861716315698,0.01920204097265875,0.8984375,0.0,0.0038899517287395253,10.91938347995743,0.00047848478236303806,5404878342647.849,True
Lz32_m1,256,3.0,0.5890486225480862,769,0.0001799297842755539,0.007220729238798506,0.8984375,0.0,0.0038899517288157053,4.106119144252694,0.0001799291625484806,2032447571407.1743,True
Lz32_m1,256,4.0,0.7853981633974483,1025,8.121471041794065e-05,0.003259212678415091,0.8984375,0.0,0.003889951728793427,1.8533741481972734,8.121441357611434e-05,917383459679.8956,True
