source_evidence_dir,nr,nz,dr,dz,snapshot_label,physical_time,field,peak_r,peak_z,peak_index_r,peak_index_z,peak_magnitude,subgrid_peak_r,subgrid_peak_r_value,subgrid_peak_r_offset_cells,subgrid_peak_r_refined,subgrid_peak_z,subgrid_peak_z_value,subgrid_peak_z_offset_cells,subgrid_peak_z_refined,fwhm_r,points_per_fwhm_r,fwhm_z,points_per_fwhm_z,front_thickness_10_90,points_per_front,peak_to_axis_cells,min_gradient_length_scale,points_per_gradient_scale_r,points_per_gradient_scale_z,gradient_scale_r,gradient_scale_z,z_tail_fraction,z_tail_fraction_r,r_tail_fraction,any_truncation,truncated_fwhm_r_left,truncated_fwhm_r_right,truncated_fwhm_z_left,truncated_fwhm_z_right,truncated_front_90,truncated_front_10
outputs/hou_early_time_v1,193,384,0.005208333333333333,0.0026041666666666665,t002,0.001,cartesian_vorticity_magnitude,0.15625,0.0,30,0,12334.686702962212,0.15795869190387052,12336.525560749626,0.32806884554313953,True,-2.931465833966307e-15,12334.686702962212,-1.1256828802430538e-12,True,0.2266528469774992,43.51734661967985,0.09204036354188246,35.343499600082865,0.10060629499276125,19.31640863861016,30,0.007565108807971026,1.4525008911304371,2.9050017822608742,0.0625,0.08854166666666666,7.899395501519093e-06,0.0,1.6639611495706617e-07,False,False,False,False,False,False,False
outputs/hou_early_time_v1,193,384,0.005208333333333333,0.0026041666666666665,t003,0.0015,u1,0.0625,0.96875,12,372,3149.8425310488424,0.06416132080222067,3151.601245523385,0.31897359402636916,True,0.9675860503028582,3153.4193544150708,-0.44695668370246405,True,0.1422829079946079,27.31831833496472,0.05808820078111454,22.305869099947984,0.04112203951748619,7.895431587357349,12,0.0026234517148559324,0.503702729252339,1.007405458504678,0.03645833333333333,0.9973958333333333,1.8464699567863958e-07,0.0,3.404232735852384e-08,True,True,False,False,False,False,True
outputs/hou_early_time_v1,193,384,0.005208333333333333,0.0026041666666666665,t003,0.0015,cartesian_vorticity_magnitude,0.11979166666666666,0.0,23,0,17863.270414919174,0.11843265021411038,17866.587253848775,-0.26093115889080476,True,1.2362073170679722e-15,17863.270414919174,4.74703609754098e-13,True,0.21459925526245832,41.203057010392,0.057707478528905454,22.159671755099694,0.07184715806801463,13.79465434905881,23,0.00395975447109497,0.7602728584502342,1.5205457169004684,0.07291666666666666,0.90625,5.148378015675942e-05,0.057291666666666664,8.477081214981263e-08,False,False,False,False,False,False,False
outputs/hou_early_time_v1,193,384,0.005208333333333333,0.0026041666666666665,t004,0.002191729,u1,0.03125,0.010416666666666666,6,4,18718.097999802423,0.03162064723545667,18725.653041181176,0.0711642692076806,True,0.01074358468738452,18731.004271086767,0.12553651995565485,True,0.03606133399141991,6.923776126352624,0.02418837908175374,9.288337567393436,0.022729803602403502,4.364122291661473,6,0.0025630183313795486,0.49209951962487336,0.9841990392497467,0.06770833333333333,0.9973958333333333,7.394491570707638e-05,0.06770833333333333,6.277817776902989e-06,False,False,False,False,False,False,False
outputs/hou_early_time_v1,193,384,0.005208333333333333,0.0026041666666666665,t004,0.002191729,cartesian_vorticity_magnitude,0.041666666666666664,0.9973958333333333,8,383,118170.54115974967,0.040806456628866165,118362.32479160928,-0.1651603272576958,True,0.9979311116588795,118468.39061794725,0.20554687700975047,True,0.04407174302158084,8.461774660143522,0.016143111114071296,6.198954667803378,0.023072562875925975,4.429932072177787,8,0.0026875205600932865,0.516003947537911,1.032007895075822,0.078125,0.9895833333333333,0.02981081347491594,0.07291666666666666,1.577230935096411e-06,False,False,False,False,False,False,False
outputs/hou_early_time_v2_hires,257,512,0.00390625,0.001953125,t000,0.0,u1,0.0,0.083984375,0,43,3265.8954313678323,0.0,3265.8954313678323,0.0,False,0.08459861716509262,3265.99198648385,0.314491988527422,True,0.19436326893648376,49.75699684773984,0.22931586839412996,117.40972461779454,0.0,0.0,0,0.005912587390523505,1.5136223719740174,3.0272447439480348,0.125,0.005859375,1.1966685650400466e-31,0.0390625,1.052459796747513e-11,True,True,False,False,False,True,True
outputs/hou_early_time_v2_hires,257,512,0.00390625,0.001953125,t000,0.0,cartesian_vorticity_magnitude,0.1640625,0.0,42,0,7565.83950707386,0.16441235816796715,7565.874781994635,0.08956369099959005,True,-2.243647975741503e-15,7565.839507073861,-1.1487477635796495e-12,True,0.25742452814730116,65.9006792057091,0.09101743131592135,46.60092483375173,0.10463468699443551,26.78647987057549,42,0.005914411767386135,1.5140894124508506,3.028178824901701,0.0,0.005859375,1.2147174856041922e-06,1.0,1.6175720502808982e-07,False,False,False,False,False,False,False
outputs/hou_early_time_v2_hires,257,512,0.00390625,0.001953125,t001,0.0005,u1,0.0,0.955078125,0,489,2034.7995898710392,0.0,2034.7995898710392,0.0,False,0.9554017493780781,2034.8995189664654,0.1656956815759827,True,0.23478204291300198,60.104202985728506,0.3166255864671651,162.11230027118853,0.0,0.0,0,0.003939812875322953,1.008592096082676,2.017184192165352,0.0,0.00390625,6.926839176273088e-31,0.01171875,2.3417474645996505e-12,True,True,False,False,False,True,True
outputs/hou_early_time_v2_hires,257,512,0.00390625,0.001953125,t001,0.0005,cartesian_vorticity_magnitude,0.16796875,0.0,43,0,9118.077311167695,0.16675094237041738,9118.715900397818,-0.3117587531731516,True,-1.6731407925796304e-15,9118.077311167695,-8.566480858007708e-13,True,0.23890446602146578,61.15954330149524,0.1013145238619681,51.873036217327666,0.1094895346531257,28.02932087120018,43,0.006586652993656113,1.686183166375965,3.37236633275193,0.00390625,0.005859375,2.2250864567916125e-06,0.0,1.199433088851668e-07,False,False,False,False,False,False,False
outputs/hou_early_time_v2_hires,257,512,0.00390625,0.001953125,t002,0.001,u1,0.05078125,0.958984375,13,491,2236.2912135259166,0.05137945946125149,2236.3295193524077,0.15314162208038162,True,0.9588444168226591,2236.3171386547074,-0.07165858679854864,True,0.2109082156697464,53.99250321145508,0.06255970079837969,32.0305668087704,0.0,0.0,13,0.00393504336501111,1.0073711014428441,2.0147422028856883,0.0,0.99609375,1.6646002427548903e-15,0.0,4.892996586432715e-11,True,True,False,False,False,True,True
