group,wall_radius,nr,nz,snapshot_index,time,checkpoint,core_max_cartesian_vorticity,core_amplification,core_amplification_denominator,core_argmax_u1_r,core_argmax_u1_z,core_argmax_abs_u1_r,core_argmax_abs_u1_z,core_max_abs_u1,core_max_abs_psi1,core_max_abs_psi1_z,core_energy,tail_max_abs_u1,tail_max_abs_omega1,tail_row_count,global_max_cartesian_vorticity,global_max_abs_u1,global_max_abs_psi1,psi_cross_solver_max_abs_difference,psi_cross_solver_relative_difference,psi_cross_solver_relative_denominator,psi_cross_solver_argmax_r,psi_cross_solver_argmax_z,solver_b_boundary_error_max,solver_b_physical_defect_max
core_dr128,1.0,129,384,0,0.0,checkpoint_core_dr128_R1_t000.npz,7562.924892101722,1.0,7562.924892101722,0.0,0.08333333333333333,0.0,0.08333333333333333,3265.5882935410696,0.0,0.0,4008.10586081935,,,0,7562.924892101722,3265.5882935410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr128,1.0,129,384,1,0.0005,checkpoint_core_dr128_R1_t001.npz,9104.631948718159,1.2038506369706918,7562.924892101722,0.0,0.04427083333333333,0.0,0.9557291666666666,2034.9978442011275,59.85404054997557,1817.578462628795,4007.064050091812,,,0,9104.631948718159,2034.9978442011275,59.85404054997557,0.014105701228203316,0.00023566832077820472,59.85404054997557,0.0078125,0.28125,0.0,62.08349967990216
core_dr128,1.0,129,384,2,0.001,checkpoint_core_dr128_R1_t002.npz,12341.718733470727,1.6318711225546743,7562.924892101722,0.046875,0.041666666666666664,0.046875,0.041666666666666664,2232.494812305094,81.08874486103346,2292.404748278137,4005.3833177735123,,,0,12341.718733470727,2232.494812305094,81.08874486103346,0.021423052742060023,0.00026419267900587145,81.08874486103346,0.0234375,0.09635416666666666,0.0,130.0973624019971
core_dr128,1.0,129,384,3,0.0015,checkpoint_core_dr128_R1_t003.npz,17920.638495838757,2.3695380757455395,7562.924892101722,0.0625,0.03125,0.0625,0.96875,3150.9889431601255,89.49067355979508,3257.9054883397343,4003.247652876019,,,0,17920.638495838757,3150.9889431601255,89.49067355979508,0.07560992120930621,0.0008448916317384274,89.49067355979508,0.0078125,0.9661458333333333,0.0,1040.7568920706708
core_dr128,1.0,129,384,4,0.002191729,checkpoint_core_dr128_R1_t004.npz,144638.549924748,19.12468416495846,7562.924892101722,0.03125,0.010416666666666666,0.03125,0.010416666666666666,19942.25981308912,157.4818673808312,19002.914978974946,3999.6642899524145,,,0,144638.549924748,19942.25981308912,157.4818673808312,1.4444190215526476,0.009171970370783546,157.4818673808312,0.0078125,0.9817708333333333,0.0,166333.92934851348
core_dr128,2.0,257,384,0,0.0,checkpoint_core_dr128_R2_t000.npz,7562.924892101722,1.0,7562.924892101722,0.0,0.08333333333333333,0.0,0.08333333333333333,3265.5882935410696,0.0,0.0,4008.10586081935,0.0,0.0,116,7562.924892101722,3265.5882935410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr128,2.0,257,384,1,0.0005,checkpoint_core_dr128_R2_t001.npz,9104.646444998558,1.2038525537265243,7562.924892101722,0.0,0.04427083333333333,0.0,0.9557291666666666,2034.9935514057822,59.85466101193403,1817.570492230889,4007.063621433541,4.0947886091344424e-82,0.05633540752877584,116,9104.646444998558,2034.9935514057822,59.85466101193403,0.014106382010488971,0.00023567725172942493,59.85466101193403,0.0078125,0.28125,0.0,62.083797741921444
core_dr128,2.0,257,384,2,0.001,checkpoint_core_dr128_R2_t002.npz,12341.811825513085,1.631883431554656,7562.924892101722,0.046875,0.041666666666666664,0.046875,0.9583333333333333,2232.4746963566795,81.08980608931174,2292.379052612667,4005.3816433227657,8.961979984302779e-74,0.11082663049078659,116,12341.811825513085,2232.4746963566795,81.08980608931174,0.021421983296722402,0.00026417603309013195,81.08980608931174,0.0234375,0.9036458333333333,0.0,130.10109648846264
core_dr128,2.0,257,384,3,0.0015,checkpoint_core_dr128_R2_t003.npz,17921.035808962042,2.3695906100664477,7562.924892101722,0.0625,0.03125,0.0625,0.03125,3150.9310242701063,89.49196986189311,3257.846768206034,4003.243971605922,2.3210833136272925e-68,0.16361555679474077,116,17921.035808962042,3150.9310242701063,89.49196986189311,0.0756065893115192,0.0008448421621313926,89.49196986189311,0.0078125,0.9661458333333333,0.0,1040.8801530072678
core_dr128,2.0,257,384,4,0.002191729,checkpoint_core_dr128_R2_t004.npz,144674.77724437192,19.129474285201724,7562.924892101722,0.03125,0.010416666666666666,0.03125,0.010416666666666666,19944.28306163811,157.472773813941,19004.559149489964,3999.6569782982183,6.075776744236934e-63,0.23281077078537998,116,144674.77724437192,19944.28306163811,157.472773813941,1.444429198482311,0.009172564650375368,157.472773813941,0.0078125,0.9817708333333333,0.0,166362.47907696874
